cycles,top_mean_values,bottom_mean_values,experiment,top_gradient,bottom_gradient,top_mean_values_approximated,bottom_mean_values_approximated,top_approximated_gradient,bottom_approximated_gradient
5,44,43,exp_2,,,50.02061058591137,50.88355257793083,,
10,39,38,exp_2,-1.0,-1.0,23.766823297003555,16.889208457621237,-5.250757457781563,-6.798868824061918
15,46,43,exp_2,1.4,1.0,41.955533400278284,37.95244465671914,3.637742020654946,4.21264723981958
16,49,46,exp_2,3.0,3.0,49.64456622128449,46.978619079268185,7.689032821006208,9.026174422549047
17,56,50,exp_2,7.0,4.0,58.43798272933037,57.275433271842985,8.79341650804588,10.2968141925748
18,63,54,exp_2,7.0,4.0,68.23772075452933,68.71309901532021,9.799738025198963,11.437665743477226
19,69,73,exp_2,6.0,19.0,78.94941130913958,81.16847740049019,10.711690554610243,12.455378385169979
20,86,93,exp_2,17.0,20.0,90.48237858756357,94.52507882805645,11.532967278423996,13.356601427566261
21,101,108,exp_2,15.0,15.0,102.74963996634892,108.67306300863669,12.26726137878535,14.147984180580238
22,113,122,exp_2,12.0,14.0,115.6679060041879,123.50923896276123,12.918266037838976,14.836175954124542
23,129,140,exp_2,16.0,18.0,129.15758044191705,138.9370650208744,13.48967443772915,15.427826058113169
24,142,155,exp_2,13.0,15.0,143.14276020251793,154.86664882333406,13.985179760600886,15.92958380245966
25,157,170,exp_2,15.0,15.0,157.55123539111685,171.21474732041173,14.408475188598914,16.34809849707767
26,177,194,exp_2,20.0,24.0,172.31448929498447,187.9047667722919,14.763253903867621,16.690019451880175
27,191,209,exp_2,14.0,15.0,187.36769838353644,204.86676274907296,15.053209088551966,16.961995976781054
28,203,223,exp_2,12.0,14.0,202.6497323083329,222.03744013076704,15.282033924796451,17.170677381694077
29,227,251,exp_2,24.0,28.0,218.10315390307915,239.36015310729903,15.45342159474626,17.32271297653199
30,244,265,exp_2,17.0,14.0,233.67421918362413,256.78490517850827,15.571065280544985,17.42475207120924
31,252,277,exp_2,8.0,12.0,249.31287734796297,274.26834915414673,15.638658164338835,17.483443975638465
32,259,283,exp_2,7.0,6.0,264.97277077623403,291.7737871538805,15.659893428271062,17.505437999733772
33,281,313,exp_2,22.0,30.0,280.6112350307211,309.271170607289,15.638464254487076,17.497383453408474
34,291,319,exp_2,10.0,6.0,296.1892988558528,326.73710025386555,15.578063825131721,17.46592964657657
35,312,344,exp_2,21.0,25.0,311.67168417820176,344.1548261430158,15.482385322348932,17.417725889150233
36,328,362,exp_2,16.0,18.0,327.026806106486,361.51424763406004,15.355121928284234,17.35942149104426
37,336,372,exp_2,8.0,10.0,342.2267729315681,378.81191339623166,15.199966825082129,17.29766576217162
38,363,401,exp_2,27.0,29.0,357.247386126455,396.05102140867785,15.020613194886892,17.239108012446195
39,374,415,exp_2,11.0,14.0,372.06814034629826,413.24141896045904,14.820754219843252,17.19039755178119
40,381,428,exp_2,7.0,13.0,386.67222342839443,430.39960265054907,14.604083082096167,17.158183690090027
41,397,443,exp_2,16.0,15.0,401.046516392185,447.5487183878359,14.374292963790595,17.14911573728682
42,413,463,exp_2,16.0,20.0,415.1815934392555,464.71856139111975,14.135077047070467,17.16984300328386
43,428,480,exp_2,15.0,17.0,429.0717219533369,481.94557618911637,13.890128514081425,17.227014797996617
44,444,499,exp_2,16.0,19.0,442.71486250030375,499.2728566204526,13.643140546966833,17.32728043133625
45,461,523,exp_2,17.0,24.0,456.11266882817677,516.7501458336699,13.397806327873013,17.47728921321726
