cycles,top_mean_values,bottom_mean_values,experiment,top_gradient,bottom_gradient,top_mean_values_approximated,bottom_mean_values_approximated,top_approximated_gradient,bottom_approximated_gradient
5,34,34,exp_3,,,32.64767610220785,25.996312396931085,,
10,39,39,exp_3,1.0,1.0,37.70489795757784,54.407701684956,1.0114443710739978,5.6822778576049835
15,79,91,exp_3,8.0,10.4,96.55102894076585,112.45555364569441,11.7692261966376,11.609570392147681
16,109,122,exp_3,30.0,31.0,111.95588525017213,126.38649583922378,15.404856309406284,13.930942193529376
17,139,157,exp_3,30.0,35.0,128.08385649102843,140.87727692624682,16.127971240856297,14.490781087023038
18,145,156,exp_3,6.0,-1.0,144.75667795875847,155.84992296919341,16.672821467730046,14.972646042946593
19,162,171,exp_3,17.0,15.0,161.8116872621,171.2333198560582,17.055009303341535,15.383396886864773
20,173,194,exp_3,11.0,23.0,179.10182432310296,186.9632133004009,17.29013706100295,15.729893444342707
21,204,218,exp_3,31.0,24.0,196.49563137713153,202.982208841346,17.39380705402857,16.0189955409451
22,220,234,exp_3,16.0,16.0,213.8772529728634,219.23977184358318,17.381621595731872,16.25756300223719
23,239,252,exp_3,19.0,18.0,231.14643597228837,235.69222749736716,17.26918299942497,16.45245565378397
24,256,270,exp_3,17.0,18.0,248.21852955071074,252.3027608185168,17.07209357842237,16.61053332114963
25,271,284,exp_3,15.0,14.0,265.02448519674783,269.04141664841694,16.80595564603709,16.738655829900154
26,281,297,exp_3,10.0,13.0,281.51085671233,285.8850996540168,16.486371515582164,16.84368300559987
27,294,311,exp_3,13.0,14.0,297.63980021270095,302.81757432783047,16.12894350037095,16.93247467381366
28,307,176,exp_3,13.0,-135.0,313.3890741264181,319.8294649879375,15.749273913717161,17.011890660107042
29,320,340,exp_3,13.0,164.0,328.75203919535204,336.9182557779815,15.362965068933931,17.088790790044015
30,338,361,exp_3,18.0,21.0,343.7376584746863,354.08829066717186,14.985619279334287,17.170034889190333
31,352,377,exp_3,14.0,16.0,358.37049733291747,371.35077345028265,14.632838858231139,17.262482783110784
32,368,395,exp_3,16.0,18.0,372.6907234518576,388.7237677476527,14.320226118940127,17.37299429737004
33,386,415,exp_3,18.0,20.0,386.7541068266298,406.23219700518575,14.06338337477223,17.508429257533066
34,400,430,exp_3,14.0,15.0,400.6320197656704,423.90784449435097,13.877912939040584,17.675647489165215
35,419,452,exp_3,19.0,22.0,414.41143689073044,441.78935331218196,13.779417125060036,17.88150881783099
36,431,467,exp_3,12.0,15.0,428.19493513687337,459.92222638127726,13.783498246142926,18.132873069095297
37,447,487,exp_3,16.0,20.0,442.10069375247747,478.35882644980074,13.9057586156041,18.43660006852349
38,461,503,exp_3,14.0,16.0,456.2624942992321,497.1583760914813,14.161800546754648,18.799549641680528
39,473,520,exp_3,12.0,17.0,470.8297206521405,516.3869577056115,14.567226352908392,19.228581614130235
40,484,533,exp_3,11.0,13.0,485.96735899952057,536.1175135170508,15.137638347380062,19.73055581143933
41,505,556,exp_3,21.0,23.0,501.8559978430029,556.429845576222,15.88863884348234,20.312332059171126
42,512,560,exp_3,7.0,4.0,518.6918279975301,577.4106157591136,16.83583015452723,20.98077018289166
43,540,599,exp_3,28.0,39.0,536.6866425913605,599.1533457672793,17.99481459383037,21.742730008165722
44,558,630,exp_3,18.0,31.0,556.0678370660647,621.7584171278363,19.381194474704216,22.605071360556963
45,573,642,exp_3,15.0,12.0,577.078409176525,645.3330711934693,21.010572110460316,23.574654065633013
