cycles,top_mean_values,bottom_mean_values,experiment,top_gradient,bottom_gradient,top_mean_values_approximated,bottom_mean_values_approximated,top_approximated_gradient,bottom_approximated_gradient
1,38,38,exp_17,,,37.55761126543612,37.03387073933893,,
2,37,37,exp_17,-1.0,-1.0,36.85057793481505,36.45421554661905,-0.7070333306210728,-0.5796551927198834
3,35,35,exp_17,-2.0,-2.0,36.17180583218127,35.89779094839737,-0.6787721026337792,-0.5564245982216747
4,34,34,exp_17,-1.0,-1.0,35.527068546387454,35.368505380094135,-0.6447372857938163,-0.5292855683032371
5,35,34,exp_17,1.0,0.0,34.92213279726109,34.870378064106546,-0.604935749126362,-0.4981273159875883
6,35,34,exp_17,0.0,0.0,34.36275843560455,34.40753900980881,-0.5593743616565447,-0.46283905429773853
7,34,33,exp_17,-1.0,-1.0,33.854698443195,33.984229013552124,-0.5080599924095495,-0.423309996256684
8,34,34,exp_17,0.0,1.0,33.40369893278446,33.6047996586647,-0.45099951041054,-0.3794293548874208
9,34,34,exp_17,0.0,0.0,33.01549914809979,33.27371331545174,-0.38819978468466587,-0.3310863432129665
10,33,34,exp_17,-1.0,0.0,32.695831463842694,32.99554314119543,-0.319667684257098,-0.2781701742563101
11,33,34,exp_17,0.0,0.0,32.45042138568971,32.77497308015495,-0.245410078152986,-0.22057006104047616
12,33,34,exp_17,0.0,0.0,32.284987550292186,32.616797863566504,-0.165433835397522,-0.1581752165884467
13,32,33,exp_17,-1.0,-1.0,32.205241725276366,32.525923009643265,-0.07974582501582006,-0.09087485392323913
14,33,33,exp_17,1.0,0.0,32.21688880924327,32.50736482357542,0.01164708396690628,-0.01855818606784254
15,33,34,exp_17,0.0,1.0,32.32562683176881,32.56625039753015,0.10873802252553588,0.0588855739547256
16,33,33,exp_17,0.0,-1.0,32.53714695340369,32.7078176106516,0.21152012163488365,0.14156721312145493
17,34,33,exp_17,1.0,0.0,32.857133465673485,32.93741512906097,0.3199865122697929,0.2295975184093706
18,33,33,exp_17,-1.0,0.0,33.29126379107859,33.260502405856414,0.434130325405107,0.3230872767954409
19,34,33,exp_17,1.0,0.0,33.845208483094254,33.68264968111309,0.5539446920156621,0.42214727525667683
20,32,33,exp_17,-2.0,0.0,34.52463122617054,34.20953798188316,0.6794227430762874,0.526888300770068
21,33,33,exp_17,1.0,0.0,35.33518883573237,34.84695912219578,0.8105576095618261,0.6374211403126182
22,32,32,exp_17,-1.0,-1.0,36.28253125817949,35.600815703057094,0.9473424224471216,0.7538565808613171
23,33,33,exp_17,1.0,1.0,37.372301570886506,36.47712111245025,1.0897703127070173,0.8763054093931544
24,39,38,exp_17,6.0,5.0,38.61013598220283,37.4819995253354,1.2378344113163209,1.004878412885148
25,40,38,exp_17,1.0,0.0,40.00166383145273,38.62168590364968,1.3915278492499041,1.1396863783142805
26,44,41,exp_17,4.0,3.0,41.55250758893533,39.90252599630722,1.5508437574825962,1.2808400926575416
27,45,42,exp_17,1.0,1.0,43.268282855924554,41.33097633919917,1.7157752669892261,1.4284503428919493
28,45,44,exp_17,0.0,2.0,45.154598364669184,42.91360425519363,1.8863155087446302,1.5826279159944647
29,50,47,exp_17,5.0,3.0,47.21705597839285,44.65708785413576,2.062457613723666,1.7434835989421273
30,52,48,exp_17,2.0,1.0,49.461250691294,46.56821603284766,2.244194712901148,1.9111281787118983
31,53,50,exp_17,1.0,2.0,51.89277062854593,48.653888475128454,2.4315199372519345,2.0856724422807957
32,57,53,exp_17,4.0,3.0,54.51719704629677,50.92111565175426,2.62442641775084,2.267227176625809
33,58,55,exp_17,1.0,2.0,57.340104331669494,53.377018820478185,2.8229072853727217,2.4559031687239212
34,60,55,exp_17,2.0,0.0,60.367060002761924,56.02883002603035,3.0269556710924306,2.651811205552164
35,65,60,exp_17,5.0,5.0,63.60362470864668,58.88389210011783,3.236564705884753,2.855062074087485
36,66,60,exp_17,1.0,0.0,67.05535222937127,61.94965866142475,3.4517275207245888,3.0657665613069156
37,69,64,exp_17,3.0,4.0,70.72778947595799,65.23369411561221,3.6724372465867248,3.2840354541874603
38,74,69,exp_17,5.0,5.0,74.62647649040403,68.74367365531829,3.8986870144460397,3.5099795397060802
39,76,70,exp_17,2.0,1.0,78.75694644568136,72.48738326015808,4.130469955277334,3.7437096048397933
40,81,75,exp_17,5.0,5.0,83.12472564573687,76.47271969672367,4.367779200055509,3.9853364365655892
41,88,82,exp_17,7.0,7.0,87.73533352549217,80.70769051858414,4.6106078797552925,4.234970821860472
42,91,83,exp_17,3.0,1.0,92.59428265084381,85.20041406628559,4.858949125351643,4.492723547701445
43,98,90,exp_17,7.0,7.0,97.70707871866313,89.95911946735106,5.112796067819318,4.75870540106547
44,106,98,exp_17,8.0,8.0,103.07922055679632,94.99214663628065,5.372141838133189,5.033027168929593
45,109,100,exp_17,3.0,2.0,108.7162001240644,100.30794627455143,5.636979567268085,5.315799638270775
