cycles,top_mean_values,bottom_mean_values,experiment,top_gradient,bottom_gradient,top_mean_values_approximated,bottom_mean_values_approximated,top_approximated_gradient,bottom_approximated_gradient
1,17,17,exp_13,,,-20.060066737699948,-15.091803224787164,,
2,14,14,exp_13,-3.0,-3.0,13.313482885800823,14.329087925438479,33.37354962350077,29.420891150225643
3,14,14,exp_13,0.0,0.0,33.80225540678575,32.17559098285761,20.488772520984924,17.846503057419127
4,13,13,exp_13,-1.0,-1.0,43.6953607198767,40.52904045374165,9.893105313090956,8.353449470884044
5,13,13,exp_13,0.0,0.0,45.152809448327076,41.35296359401179,1.4574487284503732,0.8239231402701392
6,12,12,exp_13,-1.0,-1.0,40.205512944021706,36.49308040923902,-4.9472965043053705,-4.8598831847727695
7,12,12,exp_13,0.0,0.0,30.75528328747717,27.677303654644028,-9.450229656544536,-8.815776754594992
8,11,11,exp_13,-1.0,-1.0,18.5748332878413,16.51573883509716,-12.180449999635869,-11.161564819546868
9,12,12,exp_13,1.0,1.0,5.307776482893615,4.500684205118695,-13.267056804947686,-12.015054629978465
10,12,12,exp_13,0.0,0.0,-7.53137286095469,-6.993369231121356,-12.839149343848305,-11.494053436240051
11,12,11,exp_13,0.0,-1.0,-18.55719974866119,-16.709737719803137,-11.0258268877065,-9.71636848868178
12,11,11,exp_13,-1.0,0.0,-26.51338845655218,-23.509544757457682,-7.956188707890988,-6.799807037654546
13,11,11,exp_13,0.0,0.0,-30.272722532321353,-26.371721090965274,-3.759334075769175,-2.862176333507591
14,11,11,exp_13,0.0,0.0,-28.837084795031814,-24.393004717556686,1.4356377372895395,1.978716373408588
15,12,12,exp_13,1.0,1.0,-21.337457335115317,-16.787940884814155,7.499627459916496,7.60506383274253
16,69,68,exp_13,57.0,56.0,-7.033921514371372,-2.8888820906684245,14.303535820743946,13.89905879414573
17,68,66,exp_13,-1.0,-2.0,14.684342034031403,17.854011916598644,21.718263548402774,20.74289400726707
18,80,78,exp_13,12.0,12.0,44.29905340555743,45.87277413835509,29.614711371526028,28.018762221756447
19,76,73,exp_13,-4.0,-5.0,82.16283342429998,81.48163032561851,37.863780018742546,35.60885618726342
20,86,83,exp_13,10.0,10.0,128.49920364298637,124.8769989790562,46.3363702186864,43.395368653437686
21,119,110,exp_13,33.0,27.0,183.4025863429737,176.13749134898623,54.90338269998733,51.260492369930034
22,147,136,exp_13,28.0,26.0,246.83830453425244,235.22391143537513,63.43571819127874,59.0864200863889
23,203,192,exp_13,56.0,56.0,318.64258195544164,301.9792559878397,71.8042774211892,66.75534455246455
24,273,262,exp_13,70.0,70.0,398.52254307379496,376.1287145056458,79.87996111835332,74.14945851780612
25,373,353,exp_13,100.0,91.0,486.0562130851964,457.2796692377108,87.53367001140145,81.15095473206497
26,489,464,exp_13,116.0,111.0,580.6925179141607,544.9216951826008,94.63630482896428,87.64202594489007
27,642,607,exp_13,153.0,143.0,681.7512842138361,638.4265600885303,101.05876629967543,93.50486490592948
28,813,786,exp_13,171.0,179.0,788.423239366001,737.0482244533675,106.67195515216486,98.62166436483722
29,933,883,exp_13,120.0,97.0,899.7700114810622,839.9228415246228,111.34677211506119,102.87461707125522
30,1172,1101,exp_13,239.0,218.0,1014.7241293980654,946.068757299468,114.95411791700326,106.14591577484521
31,1262,1177,exp_13,90.0,76.0,1132.089022684683,1054.3865105247114,117.36489328661753,108.31775322524345
32,1341,1227,exp_13,79.0,50.0,1250.539021637217,1163.6588326968217,118.44999895253409,109.27232217211031
33,1468,1358,exp_13,127.0,131.0,1368.6193572806053,1272.5506480619124,118.08033564338825,108.89181536509068
34,1629,1530,exp_13,161.0,172.0,1484.746161368415,1379.609073615747,116.12680408780966,107.0584255538347
35,1624,1487,exp_13,-5.0,-43.0,1597.2064663828478,1483.2634191037394,112.46030501443283,103.65434548799226
36,1715,1572,exp_13,91.0,85.0,1704.1582055347335,1581.8251870209535,106.9517391518857,98.56176791721418
37,1780,1635,exp_13,65.0,63.0,1803.630212763534,1673.4880726121035,99.47200722880052,91.66288559114992
38,1878,1746,exp_13,98.0,111.0,1893.522222737337,1756.3279638715496,89.89200997380294,82.83989125944618
39,1881,1732,exp_13,3.0,-14.0,1971.6048708528751,1828.3029415433064,78.08264811553818,71.97497767175673
40,1925,1784,exp_13,44.0,52.0,2035.519693235508,1887.2532791210397,63.91482238263279,58.95033757773331
41,2056,1942,exp_13,131.0,158.0,2082.779126739215,1930.9014428480573,47.25943350370699,43.64816372701762
42,2029,1891,exp_13,-27.0,-51.0,2110.7665089466173,1956.8520917173237,27.987382207402334,25.950648869266388
43,2034,1889,exp_13,5.0,-2.0,2116.7360781689754,1962.5920774714464,5.969569222358132,5.739985754122699
44,2059,1909,exp_13,25.0,20.0,2097.81297344617,1945.4904446026958,-18.92310472280542,-17.101632868750585
45,2085,1935,exp_13,26.0,26.0,2050.9932345466996,1902.7984303529797,-46.819738899470394,-42.69201424971607
46,2117,1953,exp_13,32.0,18.0,1973.1438019677312,1831.6494647138543,-77.84943257896839,-71.14896563912544
