cycles,top_mean_values,bottom_mean_values,experiment,top_gradient,bottom_gradient,top_mean_values_approximated,bottom_mean_values_approximated,top_approximated_gradient,bottom_approximated_gradient
1,307,460,exp_20,,,823.1604554879209,913.3257626059203,,
2,323,459,exp_20,16.0,-1.0,475.39296226503507,551.6465371559764,-347.76749322288583,-361.67922544994394
3,311,450,exp_20,-12.0,-9.0,225.63964240335963,292.5055390419968,-249.75331986167544,-259.14099811397955
4,99,96,exp_20,-212.0,-354.0,63.96524829137525,125.33285274245304,-161.67439411198438,-167.17268629954378
5,446,453,exp_20,347.0,357.0,-19.141319633935836,40.017472300741474,-83.10656792531108,-85.31538044171157
6,445,452,exp_20,-1.0,-1.0,-32.76701288709069,26.90730132518388,-13.62569325315485,-13.110170975557594
7,446,451,exp_20,1.0,-1.0,14.425365065897267,76.80915298902778,47.192377952987954,49.9018516638439
8,450,456,exp_20,4.0,5.0,114.19715880751414,180.98875003044645,99.77179374161688,104.17959704141867
9,459,465,exp_20,9.0,9.0,258.73386096874924,331.17072475253804,144.5367021612351,150.18197472209158
10,478,488,exp_20,19.0,23.0,440.64511222909255,519.5386190233246,181.9112512603433,188.36789427078656
11,531,541,exp_20,53.0,53.0,652.9647013165338,738.7348842757563,212.31958908744127,219.19626525243166
12,588,621,exp_20,57.0,80.0,889.1505650075694,981.8608815077084,236.1858636910356,243.12599723195217
13,691,749,exp_20,103.0,128.0,1143.0847881271955,1242.476881281979,253.93422311962604,260.6159997742707
14,840,955,exp_20,149.0,206.0,1409.073603548905,1514.6020637262943,265.98881542170966,272.1251824443152
15,1029,1201,exp_20,189.0,246.0,1681.8473921946986,1792.7145185333072,272.7737886457935,278.1124548070129
16,1319,1582,exp_20,290.0,381.0,1956.560683035076,2071.75124496059,274.71329084037734,279.03672642728293
17,1666,2009,exp_20,347.0,427.0,2228.792153089039,2347.1081518306446,272.231470053963,275.35690687005444
18,2064,2484,exp_20,398.0,475.0,2494.5446274240903,2614.640057530901,265.7524743350514,267.5319057002562
19,2516,3025,exp_20,452.0,541.0,2750.245079156234,2870.6606900137094,255.70045173214385,256.02063248280865
20,4095,4095,exp_20,1579.0,1070.0,2992.7446294499796,3111.9426867963457,242.49955029374541,241.28199678263627
21,4095,4095,exp_20,0.0,0.0,3219.318547518328,3335.717594961018,226.57391806834858,223.77490816467252
22,4095,4095,exp_20,0.0,0.0,3427.6662506228013,3539.6758711548473,208.3477031044731,203.95827619382908
23,4095,4095,exp_20,0.0,0.0,3615.9113040733982,3721.9668815898976,188.24505345059697,182.29101043505034
24,4095,4095,exp_20,0.0,0.0,3782.60142122864,3881.198902043142,166.69011715524175,159.23202045324433
25,4095,4095,exp_20,0.0,0.0,3926.7084634955418,4016.4391178564847,144.10704226690177,135.24021581334273
26,4095,4095,exp_20,0.0,0.0,4047.6284403296095,4127.21362393676,120.91997683406771,110.77450608027539
27,4095,4095,exp_20,0.0,0.0,4145.181509234869,4213.507424755714,97.55306890525935,86.29380081895397
28,4095,4095,exp_20,0.0,0.0,4219.611975763842,4275.764434350039,74.43046652897283,62.2570095943247
29,4095,4095,exp_20,0.0,0.0,4271.588293517542,4314.8874763213435,51.97631775370064,39.1230419713047
30,4095,4095,exp_20,0.0,0.0,4302.203064145503,4332.238283836151,30.614770627960752,17.350807514807457
31,4095,4095,exp_20,0.0,0.0,4312.973037345734,4329.637499625914,10.769973200231107,-2.6007842102371796
32,4095,4095,exp_20,0.0,0.0,4305.839110864778,4309.364675987027,-7.133926480955779,-20.27282363888662
33,4095,4095,exp_20,0.0,0.0,4283.166330497647,4274.158274780787,-22.672780367131054,-35.206401206240116
34,4095,4095,exp_20,0.0,0.0,4247.7438900878815,4227.2156674334465,-35.42244040976584,-46.94260734734053
35,4095,4095,exp_20,0.0,0.0,4202.785131527501,4172.193134936139,-44.958758560380375,-55.02253249730711
36,4095,4095,exp_20,0.0,0.0,4151.927544757063,4113.2058678449785,-50.8575867704385,-58.9872670911609
37,4095,4095,exp_20,0.0,0.0,4099.232767765571,4054.827966280939,-52.69477699149138,-58.37790156403935
38,4095,4095,exp_20,0.0,0.0,4049.1865865905756,4002.0924399299975,-50.04618117499558,-52.735526350941655
39,4095,4095,exp_20,0.0,0.0,4006.6989353181025,3960.491208042985,-42.48765127247316,-41.601231887012545
40,4095,4095,exp_20,0.0,0.0,3977.1038960827145,3935.975099435661,-29.595039235387958,-24.516108607323986
41,4095,4095,exp_20,0.0,0.0,3966.159699067438,3934.9538524887857,-10.944197015276586,-1.0212469468751806
42,4095,4095,exp_20,0.0,0.0,3980.048722503784,3964.2961151480185,13.889023436346179,29.3422626592328
43,4095,4095,exp_20,0.0,0.0,4025.377492671859,4031.3294449238592,45.3287701680747,67.03332977584068
44,4095,4095,exp_20,0.0,0.0,4109.1766839001875,4143.840308891794,83.79919122832871,112.51086396793471
45,4095,4095,exp_20,0.0,0.0,4238.901118565788,4310.074083692295,129.7244346656007,166.23377480050112
