cycles,top_mean_values,bottom_mean_values,experiment,top_gradient,bottom_gradient,top_mean_values_approximated,bottom_mean_values_approximated,top_approximated_gradient,bottom_approximated_gradient
1,85,83,exp_16,,,141.40344588488415,141.2838105860344,,
2,86,85,exp_16,1.0,2.0,110.99594499949032,108.97883594202335,-30.40750088539383,-32.304974644011054
3,81,79,exp_16,-5.0,-6.0,85.99965228461485,82.92533267324168,-24.996292714875466,-26.053503268781668
4,86,84,exp_16,5.0,5.0,66.52922516781689,63.07136330703955,-19.470427116797964,-19.853969366202136
5,79,77,exp_16,-7.0,-7.0,52.671555942956275,49.34727419853394,-13.857669224860615,-13.72408910850561
6,84,83,exp_16,5.0,6.0,44.485771770193594,41.6656955306087,-8.18578417276268,-7.681578667925237
7,86,83,exp_16,2.0,0.0,42.0032346759902,39.921541313914304,-2.482537094203394,-1.7441542166943975
8,82,80,exp_16,-4.0,-3.0,45.22754155310804,43.99200938686829,3.22430687711784,4.070468072953986
9,89,87,exp_16,7.0,7.0,54.13452416060997,53.736581415654825,8.90698260750193,9.744572028786536
10,98,95,exp_16,9.0,8.0,68.6722491238595,68.9970228942249,14.53772496324953,15.260441478570073
11,100,98,exp_16,2.0,3.0,88.7610179345208,89.5973831442964,20.088768810661293,20.600360250071503
12,118,118,exp_16,18.0,20.0,114.29336695055895,115.34399531535396,25.532349016038154,25.746612171057564
13,136,135,exp_16,18.0,17.0,145.13406739623963,146.02547638464895,30.84070044568068,30.68148106929499
14,151,151,exp_16,15.0,16.0,181.12012536212922,181.41272715719978,35.986057965889586,35.38725077255083
15,179,179,exp_16,28.0,28.0,222.06078180509473,221.25893226579157,40.94065644296552,39.84620510859179
16,221,223,exp_16,42.0,44.0,267.7375125483044,265.29956017097584,45.676730743209646,44.040627905184266
17,262,257,exp_16,41.0,34.0,317.9040282812267,313.25236316107157,50.166515732922335,47.95280299009573
18,330,334,exp_16,68.0,77.0,372.2862745596308,364.81737735216427,54.38224627840407,51.5650141910927
19,382,369,exp_16,52.0,35.0,430.582431805587,419.67692268810606,58.29615724595624,54.85954533594179
20,448,429,exp_16,66.0,60.0,492.4629153074661,477.4956029405164,61.8804835018791,57.81868025241033
21,518,496,exp_16,70.0,67.0,557.5703752199395,537.9203057087806,65.10745991247336,60.42470276826418
22,611,583,exp_16,93.0,87.0,625.5196965639797,600.5802024200519,67.94932134404019,62.65989671127136
23,700,680,exp_16,89.0,97.0,695.8979992268598,665.0867483292496,70.37830266288017,64.50654590919771
24,778,735,exp_16,78.0,55.0,768.2646379621531,731.0336825190607,72.36663873529324,65.94693418981103
25,881,831,exp_16,103.0,96.0,842.1512023897343,797.9970278999372,73.88656442758122,66.96334538087649
26,961,901,exp_16,80.0,70.0,917.0615169957787,865.5350912100996,74.91031460604438,67.53806331016244
27,1078,1051,exp_16,117.0,150.0,992.471641132762,933.188463015535,75.41012413698331,67.65337180543543
28,1143,1067,exp_16,65.0,16.0,1067.8298690194613,1000.4800177099969,75.3582278866993,67.29155469446187
29,1204,1123,exp_16,61.0,56.0,1142.5567297409539,1066.9149135150055,74.72686072149259,66.43489580500864
30,1221,1133,exp_16,17.0,10.0,1216.0449872486167,1131.9805924798482,73.48825750766287,65.06567896484262
31,1309,1217,exp_16,88.0,84.0,1287.6596403601309,1195.146780481578,71.61465311151414,63.16618800172978
32,1372,1268,exp_16,63.0,51.0,1356.7379227594738,1255.865487225017,69.07828239934292,60.71870674343904
33,1416,1304,exp_16,44.0,36.0,1422.5893029969268,1313.5710062427524,65.85138023745299,57.70551901773547
34,1488,1370,exp_16,72.0,66.0,1484.4954844890715,1367.6799148951384,61.9061814921447,54.108908652385935
35,1534,1407,exp_16,46.0,37.0,1541.7104055187888,1417.5910743702966,57.21492102971729,49.91115947515823
36,1561,1431,exp_16,27.0,24.0,1593.460239235261,1462.6856296841147,51.74983371647227,45.09455531381809
37,1603,1467,exp_16,42.0,36.0,1638.9433936539729,1502.3270096802482,45.48315441871182,39.64137999613354
38,1638,1497,exp_16,35.0,30.0,1677.3305116567062,1535.8609270301185,38.38711800273336,33.53391734987031
39,1651,1508,exp_16,13.0,11.0,1707.7644709915473,1562.6153782329136,30.43395933484112,26.754451202795053
40,1696,1551,exp_16,45.0,43.0,1729.360384272881,1581.9006436155887,21.59591328133365,19.285265382675107
41,1717,1572,exp_16,21.0,21.0,1741.2055989813935,1593.009287332866,11.845214708512458,11.108643717277346
42,1731,1589,exp_16,14.0,17.0,1742.359697464072,1595.2161573672354,1.1540984826785916,2.206870034369331
43,1759,1614,exp_16,28.0,25.0,1731.8544969342045,1587.7783855289513,-10.50520052986758,-7.437771838284107
44,1781,1636,exp_16,22.0,22.0,1708.6940494713772,1569.9353874560377,-23.16044746282728,-17.842998072913588
