cycles,top_mean_values,bottom_mean_values,experiment,top_gradient,bottom_gradient,top_mean_values_approximated,bottom_mean_values_approximated,top_approximated_gradient,bottom_approximated_gradient
1,432,433,exp_18,,,770.7839963009467,773.3648077197298,,
2,431,430,exp_18,-1.0,-3.0,617.6213803165853,615.2583866965548,-153.16261598436142,-158.10642102317502
3,426,424,exp_18,-5.0,-6.0,488.6580056318076,482.90198129601663,-128.96337468477765,-132.35640540053816
4,443,435,exp_18,17.0,11.0,383.7101028788493,375.91909326273117,-104.94790275295833,-106.98288803328546
5,464,456,exp_18,21.0,21.0,302.51349337257057,293.8624759991727,-81.19660950627872,-82.05661726355845
6,465,453,exp_18,1.0,-3.0,244.7235891104558,236.21413456567518,-57.78990426211476,-57.648341433497535
7,452,443,exp_18,-13.0,-10.0,209.91539277261472,202.3853256804308,-34.80819633784108,-33.82880888524437
8,433,437,exp_18,-19.0,-6.0,197.58349772178065,191.71655771949145,-12.331895050834078,-10.668767960939363
9,438,438,exp_18,5.0,1.0,207.1420880033122,203.4775907167674,9.558590281531565,11.761032997275947
10,460,455,exp_18,22.0,17.0,237.9249383451927,236.86743636402775,30.782850341880476,33.38984564726036
11,472,465,exp_18,12.0,10.0,289.18541415802906,291.01435801090133,51.260475812836376,54.14692164687358
12,482,482,exp_18,10.0,17.0,360.09647153505375,364.97587066487563,70.91105737702469,73.9615126539743
13,539,538,exp_18,57.0,56.0,449.7506572521238,457.7387409912965,89.65418571707005,92.76287032642085
14,572,582,exp_18,33.0,44.0,557.1601087677202,568.2189873133696,107.4094515155964,110.48024632207307
15,550,576,exp_18,-22.0,-6.0,681.2565542229488,695.261879612159,124.0964454552286,127.04289229878941
16,657,659,exp_18,107.0,83.0,820.8913124415396,837.6419395265882,139.63475821859083,142.38005991442924
17,720,731,exp_18,63.0,72.0,974.8352929298483,994.0629403534392,153.94398048830863,156.421000826851
18,790,821,exp_18,70.0,90.0,1141.7789958768542,1163.1579070473533,166.94370294700593,169.0949666939141
19,941,978,exp_18,151.0,157.0,1320.3325121541613,1343.4891162208298,178.55351627730715,180.3312091734765
20,1106,1108,exp_18,165.0,130.0,1509.0255233159994,1533.5480961442292,188.69301116183806,190.05897992339942
21,1159,1183,exp_18,53.0,75.0,1706.3073015992202,1731.7556267457683,197.28177828322077,198.20753060153902
22,1335,1362,exp_18,176.0,179.0,1910.5467099233017,1936.4617396115252,204.23940832408152,204.70611286575695
23,1507,1553,exp_18,172.0,191.0,2120.032201890349,2145.945717985436,209.4854919670472,209.483978373911
24,1710,1775,exp_18,203.0,222.0,2332.971821785086,2358.416096769295,212.939619894737,212.4703787838589
25,1936,2018,exp_18,226.0,243.0,2547.4932045748646,2572.0106625227545,214.52138278977873,213.5945657534594
26,4095,4095,exp_18,2159.0,2077.0,2761.643575909663,2784.796453463331,214.15037133479836,212.7857909405766
27,4095,4095,exp_18,0.0,0.0,2973.3897521220815,2994.769759466393,211.7461762124185,209.97330600306213
28,4095,4095,exp_18,0.0,0.0,3180.6181402273423,3199.8561220651745,207.22838810526082,205.0863625987813
29,4095,4095,exp_18,0.0,0.0,3381.1347379232993,3397.910334450763,200.516597695957,198.05421238558847
30,4095,4095,exp_18,0.0,0.0,3572.6651335904253,3586.7164414721083,191.53039566712596,188.80610702134527
31,4095,4095,exp_18,0.0,0.0,3752.8545062918192,3763.987739636016,180.18937270139395,177.2712981639079
32,4095,4095,exp_18,0.0,0.0,3919.2676257732046,3927.366777107156,166.41311948138537,163.37903747113978
33,4095,4095,exp_18,0.0,0.0,4069.38885246293,4074.425353708052,150.12122668972552,147.05857660089623
34,4095,4095,exp_18,0.0,0.0,4200.622137471971,4202.664520919088,131.23328500904063,128.23916721103615
35,4095,4095,exp_18,0.0,0.0,4310.291022593917,4309.51458187851,109.668885121946,106.85006095942208
36,4095,4095,exp_18,0.0,0.0,4395.638640304999,4392.33509138242,85.34761771108242,82.8205095039093
37,4095,4095,exp_18,0.0,0.0,4453.827713764057,4448.414855884777,58.18907345905791,56.07976450235765
38,4095,4095,exp_18,0.0,0.0,4481.940556812566,4474.9719334974025,28.112843048508694,26.557077612625108
39,4095,4095,exp_18,0.0,0.0,4476.979073974624,4469.153633989978,-4.96148283794173,-5.818299507424854
40,4095,4095,exp_18,0.0,0.0,4435.864760456945,4428.036518790042,-41.114313517678966,-41.11711519993605
41,4095,4095,exp_18,0.0,0.0,4355.438702148873,4348.62640098299,-80.42605830807224,-79.41011780705139
42,4095,4095,exp_18,0.0,0.0,4232.461575622385,4227.8583453120755,-122.97712652648806,-120.76805567091469
43,4095,4095,exp_18,0.0,0.0,4063.61364813207,4062.596668178425,-168.84792749031476,-165.26167713365066
44,4095,4095,exp_18,0.0,0.0,3845.494777615144,3849.6349376409944,-218.1188705169261,-212.9617305374304
45,4095,4095,exp_18,0.0,0.0,3574.624412691457,3585.695973416634,-270.8703649236868,-263.93896422436046
