cycles,top_mean_values,bottom_mean_values,experiment,top_gradient,bottom_gradient,top_mean_values_approximated,bottom_mean_values_approximated,top_approximated_gradient,bottom_approximated_gradient
1,12,12,exp_11,,,14.293356254194547,13.613105470499642,,
2,15,15,exp_11,3.0,3.0,13.800803201056713,13.734882192145868,-0.4925530531378346,0.121776721646226
3,14,14,exp_11,-1.0,-1.0,13.860131587290825,14.249202255840006,0.059328386234112074,0.5143200636941376
4,16,16,exp_11,2.0,2.0,14.451189521636909,15.15202832564669,0.5910579343460842,0.9028260698066841
5,18,19,exp_11,2.0,3.0,15.552928493643263,16.437826842112877,1.1017389720063537,1.285798516466187
6,17,17,exp_11,-1.0,-2.0,17.143403373666445,18.09956802226783,1.5904748800231818,1.661741180154955
7,19,19,exp_11,2.0,2.0,19.199772412871276,20.128725859623138,2.0563690392048315,2.0291578373553065
8,23,24,exp_11,4.0,5.0,21.698297243230854,22.51527812417269,2.498524830359578,2.3865522645495503
9,23,24,exp_11,0.0,0.0,24.614342877526518,25.247706362392698,2.9160456342956635,2.7324282382200096
10,26,28,exp_11,3.0,4.0,27.922377709347906,28.312995897241684,3.308034831821388,3.0652895348489864
11,29,31,exp_11,3.0,3.0,31.595973513092886,31.696635828160495,3.6735958037449805,3.383639930918811
12,30,32,exp_11,1.0,1.0,35.607805443967614,35.38261903107228,4.0118319308747274,3.6859832029117854
13,37,35,exp_11,7.0,3.0,39.9296520379865,39.3534421583825,4.321846594018886,3.9708231273102186
14,48,46,exp_11,11.0,11.0,44.53239521197222,43.59010563897894,4.602743173985722,4.236663480596441
15,56,53,exp_11,8.0,7.0,49.386020263555714,48.07211367823171,4.853625051583492,4.482008039252769
16,60,57,exp_11,4.0,4.0,54.4596158711762,52.7774742579932,5.073595607620483,4.705360579761489
17,61,59,exp_11,1.0,2.0,59.72137409408115,57.68269913659815,5.261758222904952,4.905224878604955
18,68,65,exp_11,7.0,6.0,65.13859037232628,62.76280384886359,5.417216278245128,5.080104712265438
19,63,61,exp_11,-5.0,-4.0,70.6776635267756,67.99130770608889,5.539073154449326,5.228503857225299
20,76,74,exp_11,13.0,13.0,76.3040957591014,73.34023379605568,5.626432232325797,5.348926089966795
21,79,76,exp_11,3.0,2.0,81.98249265178418,78.78010898302801,5.678396892682784,5.43987518697233
22,89,85,exp_11,10.0,9.0,87.67656316811276,84.27996390775212,5.69407051632858,5.499854924724104
23,92,89,exp_11,3.0,4.0,93.3491196521842,89.80733298745662,5.6725564840714355,5.527369079704499
24,99,96,exp_11,7.0,7.0,98.96207782890379,95.32825441585246,5.612958176719587,5.520921428395837
25,105,102,exp_11,6.0,6.0,104.47645680398514,100.8072701631329,5.514378975081357,5.479015747280442
26,111,107,exp_11,6.0,5.0,109.85237906395014,106.20742597597342,5.3759222599649945,5.400155812840524
27,117,112,exp_11,6.0,5.0,115.04907047612885,111.490271377532,5.1966914121787084,5.282845401558575
28,118,115,exp_11,1.0,3.0,120.02486028865971,116.61585966744869,4.975789812530863,5.125588289916692
29,125,122,exp_11,7.0,7.0,124.73718113048932,121.54274792184611,4.712320841829609,4.926888254397426
