cycles,top_mean_values,bottom_mean_values,experiment,top_gradient,bottom_gradient,top_mean_values_approximated,bottom_mean_values_approximated,top_approximated_gradient,bottom_approximated_gradient
1,67,66,exp_15,,,110.3390819786375,76.25918094618112,,
2,60,59,exp_15,-7.0,-7.0,101.05306133879193,78.54963070617237,-9.28602063984556,2.2904497599912474
3,54,52,exp_15,-6.0,-7.0,84.3054558043126,72.95257325183428,-16.747605534479334,-5.597057454338085
4,55,53,exp_15,1.0,1.0,63.083689115977634,62.058131711102845,-21.221766688334966,-10.894441540731435
5,53,53,exp_15,-2.0,0.0,40.16593473775504,48.28711687079958,-22.917754378222597,-13.771014840303266
6,49,48,exp_15,-4.0,-5.0,18.12111585680279,33.89102717663141,-22.04481888095225,-14.396089694168168
7,50,50,exp_15,1.0,2.0,-0.6910946165313874,20.95204873319085,-18.812210473334176,-12.938978443440561
8,51,50,exp_15,1.0,0.0,-14.120274048709774,11.383055303955757,-13.429179432178387,-9.568993429235093
9,48,47,exp_15,-3.0,-3.0,-20.225250083004852,6.927608311289532,-6.104976034295078,-4.455446992666225
10,52,51,exp_15,4.0,4.0,-17.274100639499153,9.159956836441182,2.951149443505699,2.23234852515165
11,55,55,exp_15,3.0,4.0,-3.7441539150853345,19.485037619544926,13.529946724413819,10.325080783103743
12,54,53,exp_15,-1.0,-2.0,21.67801161653388,39.13847505962053,25.422165531619214,19.653437440075606
13,79,71,exp_15,25.0,18.0,60.0965672048451,69.18658121457366,38.41855558831122,30.048106154953132
14,105,94,exp_15,26.0,23.0,112.40643382252625,110.5263558011946,52.30986661768115,41.33977458662093
15,144,128,exp_15,39.0,34.0,179.2932821654432,163.88548619515984,66.88684834291695,53.359130393965245
16,224,196,exp_15,80.0,68.0,261.2335326526531,229.82234743103135,81.94025048720988,65.9368612358715
17,265,230,exp_15,41.0,34.0,358.49435542640254,308.72600220225627,97.26082277374945,78.90365477122492
18,360,313,exp_15,95.0,83.0,471.1336703521279,400.8162008611667,112.63931492572539,92.09019865891042
19,529,457,exp_15,169.0,144.0,599.000147018456,506.1433814189814,127.86647666632808,105.3271805578147
20,613,535,exp_15,84.0,78.0,741.7332047372017,624.5886695458041,142.73305771874573,118.44528812682273
21,795,668,exp_15,182.0,133.0,898.7630125433734,755.8638785706237,157.02980780617168,131.27520902481956
22,1053,923,exp_15,258.0,255.0,1069.310489195165,899.5115094813152,170.5474766517916,143.64763091069153
23,1220,1071,exp_15,167.0,148.0,1252.387303173964,1054.9047509246377,183.076813978799,155.3932414433225
24,1425,1248,exp_15,205.0,177.0,1446.7958726843458,1221.247479206237,194.40856951038177,166.3427282815992
25,1746,1538,exp_15,321.0,290.0,1651.129365654074,1397.574258290645,204.33349296972824,176.32677908440814
26,1934,1696,exp_15,188.0,158.0,1863.7716997341067,1582.7503398012782,212.6423340800327,185.17608151063314
27,2159,1881,exp_15,225.0,185.0,2082.8975422985877,1775.4716630204375,219.125842564481,192.72132321915933
28,2409,2118,exp_15,250.0,237.0,2306.4723104448553,1974.2648548893117,223.57476814626762,198.79319186887415
29,2559,2238,exp_15,150.0,120.0,2532.2521709934313,2177.4872300079724,225.77986054857593,203.2223751186607
30,2749,2410,exp_15,190.0,172.0,2757.7840404880326,2383.326790635377,225.53186949460132,205.8395606274048
31,2956,2613,exp_15,207.0,203.0,2980.40558519556,2589.802226689373,222.6215447075274,206.47543605399596
32,3088,2733,exp_15,132.0,120.0,3197.2452211061154,2794.7629157466877,216.83963591055544,204.96068905731454
33,3225,2865,exp_15,137.0,132.0,3405.22211393298,2995.8889230429368,207.9768928268645,201.1260072962491
34,4020,3034,exp_15,795.0,169.0,3601.046179112625,3190.6910014726195,195.824065179645,194.80207842968275
35,4095,3110,exp_15,75.0,76.0,3781.218081804723,3376.510591589119,180.17190269209823,185.8195901164995
36,4095,3170,exp_15,0.0,60.0,3942.0292368921173,3550.519821604712,160.81115508739413,174.00923001559295
37,4095,4095,exp_15,0.0,925.0,4079.561808980862,3709.721507390552,137.53257208874493,159.2016857858398
38,4095,4095,exp_15,0.0,0.0,4189.6887124001905,3850.9491524766827,110.1269034193283,141.2276450861309
39,4095,4095,exp_15,0.0,0.0,4268.073611202516,3970.8669480520307,78.38489880232555,119.91779557534801
40,4095,4095,exp_15,0.0,0.0,4310.170919163462,4065.9697729644085,42.09730796094573,95.10282491237786
41,4095,4095,exp_15,0.0,0.0,4311.22579978184,4132.583193720519,1.0548806183778652,66.61342075611083
42,4095,4095,exp_15,0.0,0.0,4266.274166279625,4166.863464485942,-44.95163350221446,34.280270765422756
43,4095,4095,exp_15,0.0,0.0,4170.14268160201,4164.7975270851475,-96.13148467761494,-2.06593740079461
44,4095,4095,exp_15,0.0,0.0,4017.448758417369,4122.203011001497,-152.69392318464133,-42.59451608365089
45,4095,4095,exp_15,0.0,0.0,3802.600559117263,4034.728233377217,-214.848199300106,-87.4747776242798
