cycles,top_mean_values,bottom_mean_values,experiment,top_gradient,bottom_gradient,top_mean_values_approximated,bottom_mean_values_approximated,top_approximated_gradient,bottom_approximated_gradient
1,35,35,exp_6,,,42.49009588409197,50.91950139007096,,
2,36,37,exp_6,1.0,2.0,39.327141508801716,42.97823254238084,-3.162954375290255,-7.941268847690125
3,36,38,exp_6,0.0,1.0,36.229580635233845,36.31074899341168,-3.097560873567872,-6.667483548969159
4,35,35,exp_6,-1.0,-3.0,33.34228642654408,30.94085467820001,-2.8872942086897666,-5.369894315211667
5,33,34,exp_6,-2.0,-1.0,30.801221090204958,26.888497450431522,-2.54106533633912,-4.052357227768489
6,32,33,exp_6,-1.0,-1.0,28.733435878005885,24.169769082441093,-2.067785212199073,-2.7187283679904297
7,33,33,exp_6,1.0,0.0,27.257071086053102,22.796905265212793,-1.4763647919527827,-1.3728638172282999
8,33,33,exp_6,0.0,0.0,26.48135605476968,22.778285608379882,-0.775715031283422,-0.01861965683291089
9,33,34,exp_6,0.0,1.0,26.50660916889555,24.118433640224787,0.025253114125870724,1.3401480318449046
10,32,34,exp_6,-1.0,0.0,27.424237857487476,26.818016807679136,0.9176286885919254,2.6995831674543496
11,33,34,exp_6,1.0,0.0,29.316738593919055,30.87384647632374,1.892500736431579,4.055829668644606
12,34,36,exp_6,1.0,2.0,32.25769689588075,36.27887793038858,2.940958301961693,5.40503145406484
13,35,38,exp_6,1.0,2.0,36.31178732537984,43.022210372752845,4.054090429499091,6.743332442364263
14,39,43,exp_6,4.0,5.0,41.534773488740484,51.089086924944915,5.222986163360645,8.06687655219207
15,42,50,exp_6,3.0,7.0,47.973508036603626,60.460894627142316,6.438734547863142,9.371807702197401
16,46,57,exp_6,4.0,7.0,55.66593266392711,71.1151644381718,7.692424627323483,10.654269811029486
17,57,71,exp_6,11.0,14.0,64.64107810998556,83.02557123550929,8.975145446058448,11.910406797337487
18,68,85,exp_6,11.0,14.0,74.91906415837056,96.16193381527987,10.277986048385003,13.136362579770577
19,81,102,exp_6,13.0,17.0,86.51109963699037,110.49021489225782,11.592035478619806,14.328281076977959
20,95,120,exp_6,14.0,18.0,99.41948241807023,125.97252109986673,12.908382781079865,15.4823062076089
21,115,139,exp_6,20.0,19.0,113.63759941815215,142.56710299017908,14.218117000081918,16.594581890312355
22,117,157,exp_6,2.0,18.0,129.14992659809494,160.22835503391687,15.512327179942787,17.66125204373779
23,174,183,exp_6,57.0,26.0,145.9320289630745,178.90681562045108,16.78210236497955,18.678460586534214
24,159,203,exp_6,-15.0,20.0,163.95056056258312,198.5491670578019,18.018531599508634,19.64235143735081
25,175,226,exp_6,16.0,23.0,183.16326449043038,219.09823557263877,19.212703927847258,20.549068514836875
26,165,229,exp_6,-10.0,3.0,203.5189728847425,240.49299131028025,20.35570839431213,21.394755737641475
27,229,270,exp_6,64.0,41.0,224.9576069279626,262.6685483346941,21.438634043220077,22.17555702441385
28,272,304,exp_6,43.0,34.0,247.41017684685067,285.5561646284974,22.452569918888088,22.88761629380332
29,298,329,exp_6,26.0,25.0,270.7987819124831,309.08324209295625,23.38860506563242,23.52707746445884
30,295,335,exp_6,-3.0,6.0,295.0366104402539,333.1733265479859,24.23782852777083,24.090084455029626
31,309,352,exp_6,14.0,17.0,320.02793978987336,357.74610773215085,24.991329349619434,24.572781184164967
32,365,400,exp_6,56.0,48.0,345.6681363653689,382.71741930266495,25.640196575495565,24.971311570514104
33,407,438,exp_6,42.0,38.0,371.8436556150845,407.99923883539105,26.17551924971559,25.281819532726104
34,407,442,exp_6,0.0,4.0,398.43204203168114,433.4996878248411,26.58838641659662,25.500448989450035
35,431,462,exp_6,24.0,20.0,425.30192915213684,459.1230316841763,26.8698871204557,25.623343859335193
36,431,465,exp_6,0.0,3.0,452.3130395577461,484.7696797452074,27.01111040560926,25.6466480610311
37,463,497,exp_6,32.0,32.0,479.3161848741205,510.33618525839387,27.0031453163744,25.566505513186485
38,482,510,exp_6,19.0,13.0,506.1532657711882,535.7152453928444,26.83708089706772,25.379060134450526
39,514,536,exp_6,32.0,26.0,532.6572719631947,560.7957012363173,26.5040061920065,25.08045584347292
40,561,586,exp_6,47.0,50.0,558.6522822087019,585.4625377952196,25.99501024550716,24.666836558902332
41,583,609,exp_6,22.0,23.0,583.9534643105883,609.5968839946075,25.30118210188641,24.134346199387892
42,607,632,exp_6,24.0,23.0,608.3670751160504,633.0760126781864,24.4136108054621,23.479128683578892
43,646,663,exp_6,39.0,31.0,631.6904605166003,655.7733406083116,23.32338540054991,22.697327930125198
44,655,682,exp_6,9.0,19.0,653.712055448067,677.5584284659869,22.021594931466666,21.785087857675308
45,679,709,exp_6,24.0,27.0,674.2113838905975,698.2969808508651,20.499328442530555,20.738552384878176
