cycles,top_mean_values,bottom_mean_values,experiment,top_gradient,bottom_gradient,top_mean_values_approximated,bottom_mean_values_approximated,top_approximated_gradient,bottom_approximated_gradient
1,91,86,exp_9,,,70.71189228147621,79.55978444391633,,
2,66,61,exp_9,-25.0,-25.0,76.72150739638333,77.11092756538554,6.00961511490712,-2.4488568785307905
3,61,53,exp_9,-5.0,-8.0,78.66570530747715,72.43372173857182,1.9441979110938234,-4.677205826813719
4,58,51,exp_9,-3.0,-2.0,77.51238478155783,66.30330508501778,-1.1533205259193267,-6.130416653554036
5,56,49,exp_9,-2.0,-2.0,74.1690935989862,59.44269148988164,-3.343291182571633,-6.860613595136144
6,58,51,exp_9,2.0,2.0,69.48302855368385,52.52277060193725,-4.6860650453023425,-6.919920887944386
7,65,56,exp_9,7.0,5.0,64.24103545313302,46.16230783357413,-5.241993100550829,-6.360462768363121
8,70,61,exp_9,5.0,5.0,59.16960911837667,40.92794436079732,-5.071426334756353,-5.234363472776813
9,72,62,exp_9,2.0,1.0,54.93489338401842,37.3341971232276,-4.234715734358247,-3.5937472375697226
10,75,64,exp_9,3.0,2.0,52.142681098222695,35.843458824101305,-2.7922122857957277,-1.490738299126292
11,80,69,exp_9,5.0,5.0,51.33841412271464,36.86599793027043,-0.8042669755080567,1.022539106169127
12,81,69,exp_9,1.0,0.0,53.007183332779746,40.75995867220256,1.6687692100651077,3.8939607419321263
13,91,80,exp_9,10.0,11.0,57.573728617264706,47.83136104398102,4.56654528448496,7.071402371778461
14,91,81,exp_9,0.0,1.0,65.40243887857677,58.33410080330453,7.828710261312068,10.50273975932351
15,93,81,exp_9,2.0,0.0,76.79735203268352,72.46994947148764,11.394913154106746,14.135848668183108
16,97,85,exp_9,4.0,4.0,92.00215500911376,90.38855433346046,15.204802976430244,17.918604861972824
17,106,93,exp_9,9.0,8.0,111.20018375095661,112.18743843776869,19.198028741842847,21.79888410430823
18,114,103,exp_9,8.0,10.0,134.51442321486223,137.91200059657393,23.314239463905622,25.72456215880524
19,128,119,exp_9,14.0,16.0,162.00750737104136,167.5555153856527,27.493084156179123,29.64351478907878
20,148,142,exp_9,20.0,23.0,193.68171920326478,201.0591331443979,31.67421183222342,33.50361775874518
21,175,175,exp_9,27.0,33.0,229.4789907088654,238.31187997581787,35.797271505600634,37.252746831419984
22,210,215,exp_9,35.0,40.0,269.2809028987358,279.1506577465366,39.80191218987039,40.83877777071871
23,266,277,exp_9,56.0,62.0,312.90868579732916,323.3602440867931,43.62778289859335,44.20958634025652
24,325,341,exp_9,59.0,64.0,360.1232184426593,370.6732923904425,47.214532645330166,47.313048303649396
25,387,408,exp_9,62.0,67.0,410.62502888630223,420.770331814956,50.50181044364291,50.097039424513525
26,467,489,exp_9,80.0,81.0,464.05429419339293,473.27976728141994,53.4292653070907,52.50943546646391
27,542,564,exp_9,75.0,75.0,519.9908404426271,527.777879474536,55.9365462492342,54.49811219311607
28,605,629,exp_9,63.0,65.0,577.9541427262633,583.7888248426217,57.96330228363615,56.010945368085686
29,688,707,exp_9,83.0,78.0,637.4033251501177,640.7846355976103,59.44918242385438,56.99581075498861
30,757,767,exp_9,69.0,60.0,697.7371608335693,698.185219715051,60.33383568345164,57.400584117440644
31,809,814,exp_9,52.0,47.0,758.2940719095578,755.3583609341089,60.55691107598852,57.173141219057925
32,870,866,exp_9,61.0,52.0,818.3521295245815,811.6197187575624,60.0580576150237,56.26135782345352
33,922,910,exp_9,52.0,44.0,877.1290538387021,866.2328284518089,58.776924314120606,54.61310969424653
34,956,938,exp_9,34.0,28.0,933.7822140255405,918.4091010468582,56.65316018683836,52.17627259504923
35,1005,981,exp_9,49.0,43.0,987.4086282722791,967.3078233363395,53.62641424673859,48.898722289481384
36,1038,1000,exp_9,33.0,19.0,1037.04496377966,1012.0361578774932,49.63633550738098,44.728334541153686
37,1063,1021,exp_9,25.0,21.0,1081.6675367619869,1051.6491429911787,44.6225729823268,39.612985113685454
38,1085,1040,exp_9,22.0,19.0,1120.1923124471232,1085.1496927618682,38.52477568513632,33.50054977068953
39,1103,1054,exp_9,18.0,14.0,1151.4749050764938,1111.4885970376547,31.282592629370583,26.33890427578649
40,1115,1063,exp_9,12.0,9.0,1174.3105779050823,1129.5645214302401,22.835672828588486,18.07592439258542
41,1141,1091,exp_9,26.0,28.0,1187.4342432014382,1138.2240073149478,13.123665296355966,8.659485884707692
42,1156,1104,exp_9,15.0,13.0,1189.5204622476672,1136.2614718307102,2.086219046228962,-1.9625354842376055
43,1166,1114,exp_9,10.0,10.0,1179.1834453394385,1122.4192078800859,-10.337016908228634,-13.842263950624329
44,1179,1125,exp_9,13.0,11.0,1154.9770517859774,1095.3873841292339,-24.206393553461112,-27.031823750852027
45,1190,1135,exp_9,11.0,10.0,1115.394789910073,1053.804045007945,-39.58226187590435,-41.58333912128887
