cycles,top_mean_values,bottom_mean_values,experiment,top_gradient,bottom_gradient,top_mean_values_approximated,bottom_mean_values_approximated,top_approximated_gradient,bottom_approximated_gradient
5,15,15,exp_1,,,21.886331293655928,21.617346983522737,,
10,17,17,exp_1,0.4,0.4,-16.068646195930228,-15.347285930964802,-7.590995497917231,-7.392926582897507
15,23,23,exp_1,1.2,1.2,79.06687095769712,79.36931852830895,19.027103430725468,18.94332089185475
20,253,255,exp_1,46.0,46.4,228.61493801624306,228.84342000349062,29.909613411709188,29.894820295036332
22,301,304,exp_1,24.0,24.5,290.86893420595334,291.5984538605524,31.12699809485514,31.377516928530895
24,358,358,exp_1,28.5,27.0,350.7304696607616,352.4647620283516,29.930767727404145,30.43315408389958
26,410,412,exp_1,26.0,27.0,406.56870769221314,409.95278649529956,27.919119015725755,28.744012233473995
28,461,463,exp_1,25.5,25.5,457.40129766419204,463.2269809395801,25.416294985989452,26.637097222140255
30,491,501,exp_1,15.0,19.0,502.89437499292853,512.1058107291531,22.746538664368245,24.439414894786495
32,523,540,exp_1,16.0,19.5,543.3625611469888,557.0617529217509,20.23409307703014,22.477971096298916
34,583,604,exp_1,30.0,32.0,579.7689636472842,599.2212962648803,18.203201250147686,21.079771671564686
36,616,642,exp_1,16.5,19.0,613.7251760670697,640.3649411958238,16.978106209892758,20.57182246547177
38,655,689,exp_1,19.5,23.5,647.491278031941,682.9271998416368,16.883050982435634,21.28112932290651
40,685,730,exp_1,15.0,20.5,683.9758352198332,729.9965960191469,18.24227859394614,23.53469808875502
42,731,791,exp_1,23.0,30.5,726.7358993610251,785.3156652349592,21.380032070595917,27.659534607906153
44,775,848,exp_1,22.0,28.5,779.9770082381347,853.2809546854453,26.62055443855479,33.98264472524306
