cycles,top_mean_values,bottom_mean_values,experiment,top_gradient,bottom_gradient,top_mean_values_approximated,bottom_mean_values_approximated,top_approximated_gradient,bottom_approximated_gradient
1,32,32,exp_8,,,19.46586787601928,17.021636344401585,,
2,28,28,exp_8,-4.0,-4.0,29.719639235835587,26.122721198597937,10.253771359816305,9.101084854196351
3,26,25,exp_8,-2.0,-3.0,35.2134592079512,31.545490943614666,5.493819972115617,5.42276974501673
4,25,24,exp_8,-1.0,-1.0,36.864774608808645,33.9520342716691,1.6513154008574418,2.4065433280544326
5,25,25,exp_8,0.0,1.0,35.53819738642513,33.967621107098594,-1.3265772223835128,0.015586835429495238
6,22,22,exp_8,-3.0,-3.0,32.04550462039259,32.180702606360555,-3.4926927660325404,-1.7869185007380395
7,22,22,exp_8,0.0,0.0,27.145638521877643,29.142911158032533,-4.8998660985149485,-3.037791448328022
8,22,22,exp_8,0.0,0.0,21.544706433621528,25.369060382812037,-5.6009320882561155,-3.7738507752204953
9,21,21,exp_8,-1.0,-1.0,15.895980829940285,21.3371451335167,-5.6487256036812425,-4.031915249295338
10,21,21,exp_8,0.0,0.0,10.799899316724705,17.48834149508413,-5.09608151321558,-3.848803638432571
11,22,22,exp_8,1.0,1.0,6.804064631440056,14.227006784572168,-3.995834685284649,-3.26133471051196
12,22,22,exp_8,0.0,0.0,4.403244643126456,11.920679551158443,-2.4008199883136,-2.3063272334137253
13,27,26,exp_8,5.0,4.0,4.0393723523987575,10.900079576140982,-0.36387229072769856,-1.0205999750174612
14,27,26,exp_8,0.0,0.0,6.101545891446463,11.459107872937622,2.0621735390477056,0.5590282967966402
15,28,27,exp_8,1.0,1.0,10.926028524033555,13.85484668708638,4.824482632587092,2.395738814148757
16,30,28,exp_8,2.0,1.0,18.79624864549909,18.30755949624522,7.870220121465536,4.4527128091588395
17,34,31,exp_8,4.0,3.0,29.94279978275661,25.000691010192256,11.146551137257518,6.693131513947037
18,39,35,exp_8,5.0,4.0,44.543440594294296,34.08086717082573,14.600640811537687,9.08017616063347
19,48,40,exp_8,9.0,5.0,62.72309487017539,45.657895152163675,18.17965427588109,11.577027981337949
20,62,50,exp_8,14.0,10.0,84.55385153203726,59.80476336034455,21.83075666186187,14.146868208180877
21,78,62,exp_8,16.0,12.0,110.0549646330921,76.55764143362647,25.50111310105484,16.75287807328192
22,100,76,exp_8,22.0,14.0,139.19285335812754,95.9158802423883,29.137888725035438,19.358238808761826
23,136,100,exp_8,36.0,24.0,171.88110202350458,117.84201188912805,32.688248665377046,21.926131646739748
24,175,125,exp_8,39.0,25.0,207.98046007716033,142.26174970846418,36.09935805365575,24.419737819336135
25,222,156,exp_8,47.0,31.0,247.29884209860586,169.06398826713584,39.31838202144553,26.80223855867166
26,282,193,exp_8,60.0,37.0,289.5913277989266,198.10080336400077,42.29248570032075,29.036815096864927
27,331,223,exp_8,49.0,30.0,334.5601620207834,229.1874520300387,44.96883422185681,31.086648666037945
28,399,267,exp_8,68.0,44.0,381.85475473841177,262.10237252834736,47.29459271762835,32.914920498308646
29,465,311,exp_8,66.0,44.0,431.0716810576207,296.58718435414676,49.21692631920894,34.4848118257994
30,519,348,exp_8,54.0,37.0,481.7546812157958,332.34668823477494,50.683000158175105,35.75950388062819
31,559,375,exp_8,40.0,27.0,533.3946605818948,369.04886612969057,51.63997936609894,36.70217789491562
32,630,427,exp_8,71.0,52.0,585.4296896564542,406.3248812304738,52.035029074559475,37.27601510078324
33,671,460,exp_8,41.0,33.0,637.2450040715811,443.769077960823,51.81531441512686,37.44419673034918
34,696,475,exp_8,25.0,15.0,688.1730045909584,480.93898197655653,50.92800051937729,37.16990401573355
35,770,540,exp_8,74.0,65.0,737.4932571098464,517.3553001656146,49.32025251888797,36.416318189058074
36,790,556,exp_8,20.0,16.0,784.4324926550754,552.501920648057,46.93923554522905,35.14662048244236
37,816,581,exp_8,26.0,25.0,828.1646073850544,585.8259127760612,43.732114729979,33.32399212800419
38,859,618,exp_8,43.0,37.0,867.8106625897653,616.7375271339278,39.64605520471093,30.911614357866597
39,872,636,exp_8,13.0,18.0,902.4388846907631,644.6101955380767,34.62822210099773,27.872668404148953
40,897,659,exp_8,25.0,23.0,931.064665241184,668.7805310370462,28.625780550420927,24.170335498969507
41,917,671,exp_8,20.0,12.0,952.6505609257299,688.5483279114962,21.585895684545903,19.767796874450028
42,917,680,exp_8,0.0,9.0,966.1062935606839,703.1765616742061,13.45573263495396,14.628233762709897
43,955,705,exp_8,38.0,25.0,970.2887500938991,711.8913890700771,4.182456533215259,8.714827395870998
44,979,719,exp_8,24.0,14.0,964.0019826048106,713.8821480761283,-6.286767489088561,1.990759006051121
45,1009,733,exp_8,30.0,14.0,945.9972083044189,708.301357901497,-18.00477430039166,-5.580790174631261
