cycles,top_mean_values,bottom_mean_values,experiment,top_gradient,bottom_gradient,top_mean_values_approximated,bottom_mean_values_approximated,top_approximated_gradient,bottom_approximated_gradient
1,547,534,exp_19,,,1067.0331649429904,970.9465442072448,,
2,549,532,exp_19,2.0,-2.0,855.3899864990666,672.8421595378553,-211.64317844392383,-298.10438466938945
3,939,642,exp_19,390.0,110.0,716.7251417659386,467.8411091136147,-138.664844733128,-205.0010504242406
4,1029,645,exp_19,90.0,3.0,643.2752379497849,346.02470860969675,-73.44990381615366,-121.81640050391798
5,1064,654,exp_19,35.0,9.0,627.6177485063535,297.9146901862648,-15.657489443431473,-48.11001842343194
6,1076,679,exp_19,12.0,25.0,662.6710131409618,314.4732024884736,35.053264634608354,16.558512302208783
7,1047,648,exp_19,-29.0,-31.0,741.6942378084973,387.10281064646665,79.02322466753549,72.62960815799306
8,1076,661,exp_19,29.0,13.0,858.2874947134173,507.6464962753787,116.59325690492005,120.54368562891204
9,1077,672,exp_19,1.0,11.0,1006.3917223097483,668.3876574753324,148.10422759633093,160.7411611999537
10,1110,710,exp_19,33.0,38.0,1180.2887253010877,862.0501088314443,173.89700299133938,193.6624513561119
11,1219,835,exp_19,109.0,125.0,1374.6011746405998,1081.7980814138184,194.3124493395121,219.74797258237413
12,1217,886,exp_19,-2.0,51.0,1584.2926075310234,1321.2362227775486,209.69143289042358,239.4381413637302
13,1260,1025,exp_19,43.0,139.0,1804.6674274246607,1574.40959696272,220.37481989363732,253.17337418517127
14,1422,1276,exp_19,162.0,251.0,2031.3709040233916,1835.8036844944065,226.70347659873096,261.39408753168664
15,1613,1561,exp_19,191.0,285.0,2260.389173278657,2100.3443823826765,229.0182692552653,264.54069788826996
16,2054,2187,exp_19,441.0,626.0,2488.049237391475,2363.3980041225814,227.66006411281796,263.0536217399049
17,2252,2383,exp_19,198.0,196.0,2711.018964812427,2620.771279694168,222.96972742095204,257.3732755715864
18,2686,2859,exp_19,434.0,476.0,2926.3070902416703,2868.711355562469,215.28812542924334,247.9400758683014
19,4095,4095,exp_19,1409.0,1236.0,3131.263214628928,3103.9057946775156,204.95612438725766,235.1944391150464
20,4095,4095,exp_19,0.0,0.0,3323.577805173495,3323.482576474318,192.31459054456718,219.5767817968026
21,4095,4095,exp_19,0.0,0.0,3501.28219532423,3525.010096872882,177.70439015073498,201.52752039856387
22,4095,4095,exp_19,0.0,0.0,3662.7485847795706,3706.4971682782125,161.4663894553405,181.48707140533043
23,4095,4095,exp_19,0.0,0.0,3806.690039487524,3866.393019580277,143.9414547079532,159.89585130206433
24,4095,4095,exp_19,0.0,0.0,3932.16049164565,4003.5872961540736,125.47045215812614,137.19427657379674
25,4095,4095,exp_19,0.0,0.0,4038.5547397011005,4117.410059859556,106.39424805545059,113.82276370548243
26,4095,4095,exp_19,0.0,0.0,4125.608448350585,4207.631789041672,87.05370864948418,90.22172918211618
27,4095,4095,exp_19,0.0,0.0,4193.398148540388,4274.463378530387,67.78970018980363,66.8315894887146
28,4095,4095,exp_19,0.0,0.0,4242.341237466359,4318.556139640619,48.9430889259711,44.09276111023246
29,4095,4095,exp_19,0.0,0.0,4273.195978573919,4341.0018001723165,30.854741107559676,22.445660531697285
30,4095,4095,exp_19,0.0,0.0,4287.061501558052,4343.332504410373,13.86552298413335,2.330704238056569
31,4095,4095,exp_19,0.0,0.0,4285.3778023633395,4327.520813124711,-1.6836991947129718,-15.811691285662164
32,4095,4095,exp_19,0.0,0.0,4269.92574318389,4295.979703570221,-15.452059179449861,-31.541109554489594
33,4095,4095,exp_19,0.0,0.0,4242.827052463411,4251.562569486794,-27.09869072047877,-44.4171340834273
34,4095,4095,exp_19,0.0,0.0,4206.5443248951715,4197.563221099303,-36.28272756823935,-53.99934838749141
35,4095,4095,exp_19,0.0,0.0,4163.88102142202,4137.715885117619,-42.663303473151245,-59.8473359816835
36,4095,4095,exp_19,0.0,0.0,4117.981469236346,4076.1952047365758,-45.89955218567411,-61.52068038104335
37,4095,4095,exp_19,0.0,0.0,4072.3308617801586,4017.616239636076,-45.65060745618757,-58.57896510049977
38,4095,4095,exp_19,0.0,0.0,4030.7552587449727,3967.0344659808925,-41.57560303518585,-50.5817736551835
39,4095,4095,exp_19,0.0,0.0,3997.4215860719423,3929.9457764209055,-33.33367267303038,-37.08868955998696
40,4095,4095,exp_19,0.0,0.0,3976.837635951718,3912.286480090892,-20.583950120224472,-17.659296330013603
41,4095,4095,exp_19,0.0,0.0,3973.8520668245774,3920.433302610707,-2.9855691271404794,8.146822519815032
42,4095,4095,exp_19,0.0,0.0,3993.6544033803557,3961.203386085088,19.80233655577831,40.770083474380954
43,4095,4095,exp_19,0.0,0.0,4041.775036558446,4041.854289103887,48.12063317809043,80.650903018799
44,4095,4095,exp_19,0.0,0.0,4124.085223547793,4170.083986741853,82.31018698934713,128.22969763796573
45,4095,4095,exp_19,0.0,0.0,4246.79708778694,4354.030870558718,122.71186423914696,183.946883816865
